CountyName,PrecinctCode,PrecinctName,PrecinctSplitCode,Description,HouseNum,PrefixDirection,Street,StreetType,SuffixDirection,City,State,PostalCode,Line2,Comment,DayPhone,HandicapAccessible
ADAMS,38,MT JOY #1,38-2,MT JOY TWP MUNIC BLDG,902,,HOFFMAN HOME,RD,,GETTYSBURG,PA,17325,,,3594500,YES
ADAMS,39,MT JOY #2,39-1,MT JOY TWP MUNIC BLDG,902,,HOFFMAN HOME,RD,,GETTYSBURG,PA,17325,,,3594500,YES
ADAMS,39,MT JOY #2,39-2,MT JOY TWP MUNIC BLDG,902,,HOFFMAN HOME,RD,,GETTYSBURG,PA,17325,,,3594500,YES
ADAMS,40,MT PLEASANT #1,40-1,MT PLEASANT TWP MUNIC BLDG,1035,,BECK,RD,,GETTYSBURG,PA,17325,,,6248049,YES
ADAMS,40,MT PLEASANT #1,40-2,MT PLEASANT TWP MUNIC BLDG,1035,,BECK,RD,,GETTYSBURG,PA,17325,,,6248049,YES
ADAMS,41,MT PLEASANT #2,41-1,MT PLEASANT TWP MAINTENANCE BLDG,1016,,BECK,RD,,GETTYSBURG,PA,17325,,,,YES
ADAMS,42,NEW OXFORD,42-1,NEW OXFORD FIRE HALL,21,N,BOLTON,ST,,NEW OXFORD,PA,17350,,,6247456,YES
ADAMS,43,OXFORD #1,43-1,IRISHTOWN FIRE COMPANY,934,,IRISHTOWN,RD,,NEW OXFORD,PA,17350,,,6244544,YES
ADAMS,44,OXFORD #2,44-1,IRISHTOWN FIRE COMPANY,934,,IRISHTOWN,RD,,NEW OXFORD,PA,17350,,,6244141,YES
ADAMS,45,READING #1,45-1,HAMPTON FIRE HALL,5371,,CARLISLE,PIKE,,NEW OXFORD,PA,17350,,,6242323,YES
ADAMS,46,READING #2,46-1,HAMPTON FIRE HALL,5371,,CARLISLE,PIKE,,NEW OXFORD,PA,17350,,,6242323,YES
ADAMS,47,STRABAN #1,47-1,DEPARTMENT OF EMERGENCY SERVICES,230,,GREENAMYER,LN,,GETTYSBURG,PA,17325,,,,YES
ADAMS,48,STRABAN #2,48-1,DEPARTMENT OF EMERGENCY SERVICES,230,,GREENAMYER,LN,,GETTYSBURG,PA,17325,,,3344833,YES
ADAMS,48,STRABAN #2,48-2,DEPARTMENT OF EMERGENCY SERVICES,230,,GREENAMYER,LN,,GETTYSBURG,PA,17325,,,3344833,YES
ADAMS,49,TYRONE,49-1,HEIDLERSBURG FIRE HALL,2720,,HEIDLERSBURG,RD,,GETTYSBURG,PA,17325,,,7175288867,YES
ADAMS,49,TYRONE,49-2,HEIDLERSBURG FIRE HALL,2720,,HEIDLERSBURG,RD,,GETTYSBURG,PA,17325,,,7175288867,YES
ADAMS,50,UNION,50-1,LITTLESTOWN CHAPEL AUDITORIUM,1144,,BOLLINGER,RD,,LITTLESTOWN,PA,17340,,,3597441,YES
ADAMS,51,YORK SPRINGS,51-1,FIRE CO COMMUNITY BLDG,312,,MAIN,ST,,YORK SPRINGS,PA,17372,,,5288411,YES
ADAMS,52,READING #3,52-1,LAKE MEADE FIRE STATION,492,,LAKE MEADE,DR,,EAST BERLIN,PA,17316,,,,YES
ALLEGHENY,1010001,ALEPPO 00 01,1010001-1,ALEPPO TOWNSHIP  PUBLIC WORKS GARAGE,100,,NORTH,DR,,SEWICKLEY,PA,15143,,,,YES
ALLEGHENY,1020001,ASPINWALL 00 01,1020001-1,ASPINWALL MUNICIPAL BUILDING,217,,COMMERCIAL,AVE,,ASPINWALL,PA,15215,,,,YES
ALLEGHENY,1020002,ASPINWALL 00 02,1020002-1,ASPINWALL FIRE DEPARTMENT #2,201,,12TH,ST,,ASPINWALL,PA,15215,,,,YES
ALLEGHENY,1020003,ASPINWALL 00 03,1020003-1,ST SCHOLASTICA SCHOOL,300,,MAPLE,AVE,,ASPINWALL,PA,15215,,,,YES
ALLEGHENY,1030100,AVALON 01 00,1030100-1,AVALON MUNICIPAL BUILDING,640,,CALIFORNIA,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1030201,AVALON 02 01,1030201-1,AVALON PUBLIC LIBRARY - CONFERENCE ROOM,317,S,HOME,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1030202,AVALON 02 02,1030202-1,SALVATION ARMY,327,S,HOME,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1030301,AVALON 03 01,1030301-1,AVALON ELEMENTARY SCHOOL,721,,CALIFORNIA,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1030302,AVALON 03 02,1030302-1,GREENSTONE UNITED METHODIST CHURCH,939,,CALIFORNIA,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1030303,AVALON 03 03,1030303-1,GREENSTONE UNITED METHODIST CHURCH,939,,CALIFORNIA,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1040001,BALDWIN BR 00 01,1040001-1,ST ALBERT THE GREAT,3198,,SCHIECK,ST,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1040002,BALDWIN BR 00 02,1040002-1,ST ALBERT THE GREAT,3198,,SCHIECK,ST,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1040003,BALDWIN BR 00 03,1040003-1,BALDWIN BOROUGH MUNICIPAL BUILDING,3344,,CHURCHVIEW,AVE,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1040004,BALDWIN BR 00 04,1040004-1,ST ALBERT THE GREAT,3198,,SCHIECK,ST,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1040005,BALDWIN BR 00 05,1040005-1,OPTION INDEPENDENT FIRE CO.,825,,STREETS RUN,RD,,PITTSBURGH,PA,15236,,,,YES
ALLEGHENY,1040006,BALDWIN BR 00 06,1040006-1,MCANNULTY ELEMENTARY SCHOOL,5151,,MCANNULTY,RD,,PITTSBURGH,PA,15236,,,,YES
ALLEGHENY,1040007,BALDWIN BR 00 07,1040007-1,BALDWIN BORO PUBLIC LIBRARY-MEETING RROM,5230,,WOLFE,DR,,PITTSBURGH,PA,15236,,,,YES
ALLEGHENY,1040008,BALDWIN BR 00 08,1040008-1,MCANNULTY ELEMENTARY SCHOOL,5151,,MCANNULTY,RD,,PITTSBURGH,PA,15236,,,,YES
ALLEGHENY,1040009,BALDWIN BR 00 09,1040009-1,WALLACE BUILDING,41,,MACEK,DR,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1040010,BALDWIN BR 00 10,1040010-1,BALDWIN BORO PUBLIC LIBRARY,5230,,WOLFE,DR,,PITTSBURGH,PA,15236,,,,YES
ALLEGHENY,1040011,BALDWIN BR 00 11,1040011-1,BALDWIN BORO PUBLIC LIBRARY,5230,,WOLFE,DR,,PITTSBURGH,PA,15236,,,,YES
ALLEGHENY,1040012,BALDWIN BR 00 12,1040012-1,ST ALBERT THE GREAT,3198,,SCHIECK,ST,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1040013,BALDWIN BR 00 13,1040013-1,BALDWIN BOROUGH MUNICIPAL BUILDING,3344,,CHURCHVIEW,AVE,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1040014,BALDWIN BR 00 14,1040014-1,MCANNULTY ELEMENTARY SCHOOL,5151,,MCANNULTY,RD,,PITTSBURGH,PA,15236,,,,YES
ALLEGHENY,1040015,BALDWIN BR 00 15,1040015-1,BALDWIN BOROUGH MUNICIPAL BUILDING,3344,,CHURCHVIEW,AVE,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1040016,BALDWIN BR 00 16,1040016-1,BALDWIN BOROUGH MUNICIPAL BUILDING,3344,,CHURCHVIEW AVE EXT,AVE,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1040017,BALDWIN BR 00 17,1040017-1,MCANNULTY ELEMENTARY SCHOOL,5151,,MCANNULTY,RD,,PITTSBURGH,PA,15236,,,,YES
ALLEGHENY,1040018,BALDWIN BR 00 18,1040018-1,WALLACE BUILDING,41,,MACEK,DR,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1050001,BALDWIN TP 00 01,1050001-1,BALDWIN TOWNSHIP MUNICIPAL BUILDING UPPER LEVEL,10,,COMMUNITY PARK,DR,,PITTSBURGH,PA,15234,,,,YES
ALLEGHENY,1050002,BALDWIN TP 00 02,1050002-1,BALDWIN TOWNSHIP MUNICIPAL BUILDING UPPER LEVEL,10,,COMMUNITY PARK,DR,,PITTSBURGH,PA,15234,,,,YES
ALLEGHENY,1060001,BELL ACRES 00 01,1060001-1,BELL ACRES VFC,1850,,BIG SEWICKLEY CREEK,RD,,SEWICKLEY,PA,15143,,,,YES
ALLEGHENY,1070101,BELLEVUE 01 01,1070101-1,1400 INC - KNIGHTS OF COLUMBUS (MARINER HALL),450,,LINCOLN,AVE,,PITTSBURGH,PA,15202,,,,YES
