_id,x,y,fid,perimeter,publicbl_i,facility,facility_c,address,city,zipcode,class,municode
8273,-80.000359568,40.440419838,89,0,25,DHS-YWCA,DHS-Y,304 Wood St,Pittsburgh,15222,Allegheny County,
8274,-80.046534166,40.439510802,90,0,588,Pittsburgh Public Works 5th Division,,1330 Hassler St,Pittsburgh,15220,Pittsburgh Public Works,100
8275,-79.995912158,40.414012459,91,0,592,Pittsburgh Public Works 4th Division,,414 Bausman St,Pittsburgh,15210,Pittsburgh Public Works,100
8276,-79.886508791,40.4454020360001,92,0,24,DHS-Wilkinsburg,DHS-WK,300 Wallace Ave,Pittsburgh,15221,Allegheny County,
8277,-79.996339674,40.4397265430001,93,0,28,Frick Building,FrB,437 Grant St,Pittsburgh,15219,Allegheny County,
8278,-79.942734861,40.403379343,94,0,608,Pittsburgh Public Works 3rd Division,,40 Malanchton St,Pittsburgh,15207,Pittsburgh Public Works,100
8279,-79.905503493,40.4561826360001,95,0,2,Pittsburgh Public Works 2nd Division,,6814 Hamilton Ave,Pittsburgh,15208,Pittsburgh Public Works,100
8280,-79.867767871,40.3467198230001,96,0,32,Kane-McKeesport,K-Mc,100 Ninth Ave,McKeesport,15132,Allegheny County,
8281,-80.000715951,40.464741163,97,0,5,Pittsburgh Public Works Construction,,1909 Howard St,Pittsburgh,15212,Pittsburgh Public Works,100
8282,-79.948085707,40.4378170750001,98,0,597,Pittsburgh Public Works 3rd Division,,400 Frew Street Ext,Pittsburgh,15221,Pittsburgh Public Works,100
8283,-80.014936452,40.55159988,99,0,33,Kane-Ross,K-R,110 McIntyre Rd,Pittsburgh,15237,Allegheny County,
8284,-80.08561438,40.373907622,100,0,34,Kane-Scott,K-S,300 Kane Blvd,Pittsburgh,15243,Allegheny County,
8285,-79.933104204,40.581655067,101,0,36,Hampton Township Building,,3101 McCully Rd,Allison Park,15101,,914
8286,-80.21233621,40.5812105190001,102,0,42,Leet Township Building,,198 Ambridge Ave,Fair Oaks,15003,,921
8287,-79.897110101,40.4525121500001,103,0,35,Lexington Tech Pk Offices,LEX,400 N Lexington Ave,Pittsburgh,15208,Allegheny County,
8288,-80.2071381659999,40.5052102810001,104,0,44,Moon Township Building,,1000 Beaver Grade Rd,Moon,15108,,925
8289,-80.010237515,40.5878717150001,105,0,38,Police/Fire Academy,ACAD,700 West Ridge Dr,Allison Park,15101,Allegheny County,
8290,-79.976884296,40.351639972,106,0,2,Whitehall Borough Building,,100 Borough Park Dr,Pittsburgh,15236,,874
8291,-79.860651361,40.277539941,107,0,44,PW - Dx 4,PW-4,460 Lovedale Rd,Elizabeth,15037,Allegheny County,
8292,-79.973556934,40.48157179,108,0,91,Millvale Borough Building,,501 Lincoln Ave,Pittsburgh,15209,,838
8293,-80.0231725519999,40.33314059,109,0,45,PW - Dx 5,PW-5,5091 Library Rd,Bethel Park,15102,Allegheny County,
