OBJECTID,PERMANENT_IDENTIFIER,SOURCE_FEATUREID,SOURCE_DATASETID,SOURCE_DATADESC,SOURCE_ORIGINATOR,Data_Security,Distribution_Policy,LOADDATE,FType,FCode,NAME,IsLandmark,PointLocationType,AdminType,ADDRESSBUILDINGNAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID,FOOT_ID,COMPLEX_ID,GLOBALID,x,y
882453,{80830F3D-6E6D-4D6F-8B18-E6FB137AE9AC},040019701946,c5ddf703-aa48-4b98-990b-f37c5e9c44be,730 TNMC Update 9/2/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,9/2/2020 10:14:10 PM,730,73007,NAVIT - Round Valley High School,2,1,0,,550 North Butler Street,Eagar,AZ,85925,, , ,22f9b195-4d36-466e-85ce-0071011bc5e6,-109.288307000069,34.120689000029
882919,{741F4FF4-DFE3-4BD0-851F-70C8932C8733},00865417,e2b919ff-cb7e-4f8f-abc4-199ff0b8ab87,730 TNMC Update 7/27/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,7/27/2018 2:16:39 PM,730,73007,Don Bosco Technology Academy,2,1,,,764 11th Avenue,Paterson,NJ,07514,, , ,aea39f10-614a-439f-b7fe-973bea742905,-74.1328340002705,40.9194940000228
884023,{96F8639D-785C-4DCE-AF85-6D1117AF6AC5},500037100097,3eaf3e16-43f1-48dd-964e-e4af6ef11d00,730 TNMC Update 3/24/2017,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,3/24/2017 1:17:53 AM,730,73007,River Valley Technical Center,2,1,,,307 South Street,Springfield,VT,05156-3226,, , ,b02edbce-5d80-448b-bdcf-3bb2287e3e67,-72.4777908333206,43.2803840637499
884042,{5FF183DB-85C5-44A0-B417-0162C3A16576},481806009296,46eeeb1e-5c9e-4d28-9c2a-695b6a819e93,730 TNMC Update 5/28/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,5/28/2020 9:46:33 PM,730,73007,Southwest Schools - McAllen,2,1,0,,3900 North 23rd Street,McAllen,TX,78501,, ,,7436c746-ec2f-474a-b122-07cb3752016b,-98.2389330002337,26.240079000224
884088,{4508D566-6221-4E2E-8ED4-F3CB88EF2016},390513004077,71dab982-3e3a-4f90-b13f-59d501f5a24c,730 TNMC Update 9/28/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,9/28/2020 9:10:16 PM,730,73007,Mid - East Career and Technology Center,2,1,0,,57090 Vocational Road,Senecaville,OH,43780,, ,,c7b03ec6-97c4-4b5d-9124-8cdbbdc1ac89,-81.5212629999638,39.9276349998596
884225,{B734A02E-7081-4F63-9BB0-E2EB8AC5BE45},428007007048,034da6f8-974f-4648-9aae-91ddba97ce1c,730 TNMC Update 8/1/2017,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,8/1/2017 5:14:33 PM,730,73007,Reading Muhlenberg Career and Technology Center,2,1,0,,2615 Warren Road,Reading,PA,19604,, , ,2c549d53-3393-4334-917d-d170119eb074,-75.9040222173959,40.3735046386887
884517,{C4C566F3-D5B1-45DC-8801-7926626F125C},040019703071,44e47596-b93d-45e3-92d5-1da39b4cdd28,730 TNMC Update 4/16/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,4/16/2018 5:21:36 PM,730,73007,NAVIT - Joseph City High School,2,1,0,,4629 East 2nd North,Joseph City,AZ,86032,, , ,5f9965f0-099b-49b0-820a-814e531c00cf,-110.322250366199,34.9592208865514
884842,{4D3467A7-E16C-4A48-8C73-54F36568045B},040031602677,7a23729a-cb33-46e6-9286-f62d3ba0733f,730 TNMC Update 4/13/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,4/13/2018 2:38:42 PM,730,73007,CVIT - San Carlos High School,2,1,0,,US Highway 70,Peridot,AZ,85542,, , ,2500f24c-1f59-4ab8-b586-4d9cdb4830e9,-110.474197388175,33.2979202267964
885093,{0EAAADCC-5BF1-4A6B-8E5D-A88E7A52057D},388070000723,ac558111-8267-4d78-a0a5-fbf2786967e2,730 TNMC Update 11/15/2016 15:37:26,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,11/15/2016 4:30:06 PM,730,73007,North Valley Career and Technology Center,2,1,,,1540 School Road,Grafton,ND,58237-1715,, , ,c6cbc9d9-d59c-45cf-95c8-ac9f7dfd9bd3,-97.4251785276363,48.4071502684357
886450,{34E9D60A-2719-4BC8-8D31-D32A07A600B7},390511204069,dd10b4c0-3dda-4821-86f1-2e3da98b596d,730 TNMC Update 3/5/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,3/5/2018 8:01:04 PM,730,73007,Jefferson County Vocational School,2,1,,,1509 County Highway 22A,Bloomingdale,OH,43910-7965,, ,,393c11dc-c09a-4189-8c28-56056fca29f7,-80.7608413697788,40.3590202325233
887100,{078BCF5E-9C18-4F2D-BBF4-547B5619DF24},428021007064,688aacc5-98d2-42c6-81f9-624fd9d61f75,730 TNMC Update 8/4/2017,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,8/4/2017 2:49:28 PM,730,73007,Erie County Technical School,2,1,0,,8500 Oliver Road,Erie,PA,16509,, , ,2900c443-f447-4d17-8f91-b332404895a2,-80.0952758792388,42.0296897892784
887201,{39522E51-6479-497B-A858-1C1D08AF5830},490042001189,{092B06A5-744D-461B-BB91-876E463350D0},TNMC VWE DB Build - Vol Update Schools,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,9/16/2015 9:58:21 AM,730,73007,Canyons Technical Education Center,2,1,,,825 East 9085 South,Sandy,UT,84094,, ,,ad3289fc-54b3-4d5d-889d-df5119d277f6,-111.869117421873,40.5872647146966
888357,{0B7B578F-B200-4173-B221-BDB39B16AEC3},390510604276,19c4a64a-2c55-4d19-ad33-550cf1a4574e,730 TNMC Update 9/4/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,9/4/2020 4:44:15 PM,730,73007,Great Oaks Career Campus - Laurel,2,1,0,,300 Oak Drive,Wilmington,OH,45177,, ,,644f935e-88b0-40bb-8111-335eb453556e,-83.7892759999773,39.4279139997243
888774,{B69D5792-58DC-43D9-8185-62EDB811D9B3},040034802275,44e47596-b93d-45e3-92d5-1da39b4cdd28,730 TNMC Update 4/16/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,4/16/2018 3:52:56 PM,730,73007,CAVIT - Santa Cruz Valley Union High School,2,1,0,,900 North Main Street,Eloy,AZ,85131,, , ,a74ebdf9-2c43-48a0-a4bc-14335f8e52bc,-111.55561065671,32.7592658991234
888979,{2BFFE188-8025-45D8-B99F-54FBA6833A69},420000307138,034da6f8-974f-4648-9aae-91ddba97ce1c,730 TNMC Update 8/1/2017,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,8/1/2017 4:43:50 PM,730,73007,Susquehanna County Career and Technology Center,2,1,,,2380 Elk Lake School Road,Springville,PA,18844,, , ,859ea7e6-6246-48ba-9dde-e11938282cd8,-75.9545135501991,41.7385940552106
889625,{77203FC0-873B-4767-9AE9-45F4A1F0D317},010345001237,63cf4658-914b-4180-b2e2-b21ce407ca04,730 TNMC Update 7/19/2021,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,7/19/2021 11:07:19 PM,730,73007,Walker County Center of Technology,2,1,,,1100 Viking Drive,Jasper,AL,35501,, , ,83394f86-f91b-422f-9086-59f48c80e717,-87.262360000156,33.8347530001304
889961,{F8A661F0-4836-4D74-9FA8-AAEA26426FB7},390509004057,aef9c8a3-a77a-4e21-8054-1e7af4790691,730 TNMC Update 9/24/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,9/24/2020 8:14:35 PM,730,73007,Columbiana County Career and Technical Center,2,1,0,,9364 State Route 45,Lisbon,OH,44432,, ,,40a5e416-340c-4121-baa9-43c05be86b03,-80.7479057786362,40.7679792518916
889973,{420C18BF-99EB-4CE3-BD95-4FDA55E13033},390513504080,fa344326-05ec-4448-9a28-3b384fb4f0c1,730 TNMC Update 1/11/2022,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,1/11/2022 11:01:01 PM,730,73007,Penta Career Center,2,1,,,9301 Buck Road,Perrysburg,OH,43551,1081760, ,,3bed1889-97ec-414a-9649-dd6ab726b6bf,-83.5715869994258,41.5839849996061
